Record Id,Village Owner.id,Rating,Village Name,Phone,Fax,Parent Village.id,Website,Ticker Symbol,Village Type,Ownership,Industry,Employees,Annual Revenue,SIC Code,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Last Activity Time,Billing Street,Shipping Street,Billing City,Shipping City,Billing Province,Shipping Province,Billing Code,Shipping Code,Billing Country,Shipping Country,Description,Layout.id,Village Number,Village Site,Score,Positive Score,Negative Score,Positive Touch Point Score,Touch Point Score,Negative Touch Point Score,Tag,Village Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Change Log Time,Households,Average Household Income,Road Conditions,Total Population,Latest Livelihoods Survey,Potential KHT Projects,Latest Education Survey,Potential Project Notes,Villagers Consulted,GPS Latitude,GPS Longitude,Latest WASH Survey,% Population Without Enough Rice,District.id,Nearest Town.id,Children (Aged 0 - 18),Distance to Town (km),Adult Males,Tribe,Forest Department,Adult Females,Season Accesibility,Average Annual HH Income (THB),Province,Village has Dorm,Distance to Hospital (km),Annual Malaria Cases,No. Children in Dorm,Nearest Health Centre,Distance to Pratom (km),Annual Typhoid Cases,No. Students at Uni,Distance to Health Centre (km),No. Children Go To Pratom,Annual Stomarch Ulcer Cases,No. Graduates,Annual Diabetes Cases,Nearest Mathayom (Seconary).id,Annual Cancer Cases,No. Children Go To Mathayom,Village Deaths in Last Year,Distance to Mathayom (km),Common Diseases,Nearest Pratom (Primary).id,Village Schools,Nearest Hospital.id,Latest non-KHT Clean Water Project,Latest non-KHT Rice Bank Project,Latest non-KHT Electricity Project,Sufficient Drinking Water in Dry Season,Non-KHT Projects Comments,Latest non-KHT Animal Bank Project,Previous Gov/Royal Aid Projects,General Comments,Latest non-KHT School Project,Previous Non-KHT NGO Projects,Current Water Sources,Latest non-KHT Solar Project,Latest non-KHT Road Project,Sufficient Drinking Water in Wet Season,Latest non-KHT Satelite Project,Village's Name,Name of Village,Latest non-KHT Irrigation Project,Number of People without Thai ID Cards,Are Any KHT Staff Connected to the Village?,No. Children Living Away in Dormitories,No. Children Who Don't Go to Mathayom but Should,No. Children Who Don't Go to Pratom but Should,Locked,Hosted KHT Projects,Last Enriched Time,Enrich Status,Record Status
zcrm_361303000001699139,zcrm_361303000000269001,,Ban Aum Da Nua,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-06-20 07:54:16,2023-12-04 09:44:16,,,2023-12-04 09:44:16,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,2022-07-25 11:20:46,,,2023-12-04 09:44:16,,,,,,,,,,,,,,,zcrm_361303000001611586,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Aum Da Nua,Ban Aum Da Nua,,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001699181,zcrm_361303000000269001,,Ban Huay Ma Kok,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-06-20 08:06:00,2024-04-17 16:17:54,,,2024-04-17 16:17:54,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,2022-07-25 11:20:46,,,2024-04-17 16:17:54,,,,,,,,,,,,,,,zcrm_361303000000401954,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Huay Ma Kok,Ban Huay Ma Kok,,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001881585,zcrm_361303000000269001,,Ban Aae Auh,,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:28:46,,,2022-08-05 10:28:46,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:28:46,,57,,,297,,"Mosquito Nets, Blankets, Education Scholarship, Most of villager are poor",,FALSE,,18.92632,98.21819,2013-09-10,40.0,zcrm_361303000001881183,zcrm_361303000000461057,80,80,109,Sgaw,Mae Chaem,108,Dry Season,4000,Chiang Mai,false,36,4,,Ban Mae La Oop,5,9,,10,40,,5,,zcrm_361303000001881128,,25,,5,Flu and Ulcer,zcrm_361303000001881128,,zcrm_361303000001881260,,,,,,,Yes,,,No,Government Water System,,,,,Ban Aae Auh,Ban Aae Auh,,,,,,,false,WASH,,,1
zcrm_361303000001881587,zcrm_361303000000269001,,Ban Chan Muang,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 06:56:17,,,2022-08-05 06:56:17,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 06:56:17,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Chan Muang,Ban Chan Muang,,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001881588,zcrm_361303000000269001,,Ban Den,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 06:56:16,,,2022-08-05 06:56:16,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 06:56:16,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Den,Ban Den,,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001881589,zcrm_361303000000269001,,Ban Doi Liam,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-12-02 10:47:25,,,2022-12-02 10:47:25,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-12-02 10:47:25,,36,,,173,,"Electricity, Rice bank,Education Scholarship, Latrine",,,,18.25842,98.09135,2007-09-05,40.0,,zcrm_361303000000521090,65,35,53,,Mae Sariang,55,Dry Season,,Mae Hong Son,false,35,,,Ban Mae Ho,,5,,10,58,,,,,,,,,"Flu, Ulcer and cancer",,Prathom (Primary),zcrm_361303000000521090,,,,,,,Yes,,,No,Government Water System,,,,,Ban Doi Liam,Ban Doi Liam,,,,,,,false,Further Education Scholarships;WASH,,,1
zcrm_361303000001881590,zcrm_361303000000269001,,Ban Du La Per,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 06:56:17,,,2022-08-05 06:56:17,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 06:56:17,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Du La Per,Ban Du La Per,,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001881591,zcrm_361303000000269001,,Ban Eh Loo,,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:21:27,,,2022-08-05 10:21:27,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:21:27,,42,,,207,,"Mosquito Nets, Blankets, Education Scholarship, They are very poor and no road to village",,FALSE,,18.42941,97.66358,2015-05-18,60.0,zcrm_361303000001881248,zcrm_361303000000521090,45,78,81,Sgaw,Mae Sariang,81,,3000,Mae Hong Son,false,78,14,,Ban Po Suar,10,11,,15,8,,1,,zcrm_361303000000704077,,10,,15,Flu,zcrm_361303000000707122,,zcrm_361303000000521090,1997-01-01,,,,,,Yes,,,No,Government Water System,,,,,Ban Eh Loo,Ban Eh Loo,,,,,,,false,WASH,,,1
zcrm_361303000001881592,zcrm_361303000000269001,,"Ban Gano, KY Dist",,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 06:51:41,,,2022-08-05 06:51:41,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 06:51:41,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ban Gano, KY Dist","Ban Gano, KY Dist",,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001881594,zcrm_361303000000269001,,Ban Goong Sum Tai,,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:21:27,,,2022-08-05 10:21:27,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:21:27,,22,,"Very Poor (not paved, inaccesible in wet season)",107,,"Mosquito Nets, Blankets, Water Repair, Water Extension, Latrines, Scholarship, School Meals, School Bus, Dormitory.",,FALSE,Village Headman,18.400235,97.614122,2019-10-04,70.0,zcrm_361303000001881208,zcrm_361303000000521090,27,81,41,Sgaw,Mae Sariang,39,Dry Season,5000,Mae Hong Son,true,81,5,29,Ban Po Saw,0,10,,25,38,,1,,zcrm_361303000000704077,,0,,25,Cholera,zcrm_361303000001881114,Prathom (Primary),zcrm_361303000000521090,,,,No,,,Yes,,2009-01-01,No,Government Water System;Well,2004-01-01,2013-01-01,Yes,,Ban Goong Sum Tai,Ban Goong Sum Tai,,,,,,,false,WASH,,,1
zcrm_361303000001881595,zcrm_361303000000269001,,Ban Hak Mai Nua,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 06:55:47,,,2022-08-05 06:55:47,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 06:55:47,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Hak Mai Nua,Ban Hak Mai Nua,,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001881597,zcrm_361303000000269001,,Ban Hiau Bong,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 06:58:53,,,2022-08-05 06:58:53,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 06:58:53,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Hiau Bong,Ban Hiau Bong,,,,,,,false,Further Education Scholarships,,,1
zcrm_361303000001881598,zcrm_361303000000269001,,Ban Hua Ha,,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-09-28 04:26:53,,,2022-09-28 04:26:53,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-09-28 04:26:53,,19,,,110,,"Education Scholarship, Blankets,  Mosquito Nets, Latrine",,FALSE,,19.10263,98.0745,2010-09-09,90.0,zcrm_361303000001881191,zcrm_361303000000716157,47,70,32,,Mae Hong Son,31,Dry Season,2000,Mae Hong Son,false,70,5,,Ban Paw New Khee,,6,,13,24,,,,zcrm_361303000001881249,,5,,,Flu,zcrm_361303000001881110,No Schools,zcrm_361303000000716157,,,,,,,Yes,,,No,Government Water System,,,,,Ban Hua Ha,Ban Hua Ha,,,,,,,false,Further Education Scholarships;WASH,,,1
zcrm_361303000001881599,zcrm_361303000000269001,,Ban Hua Ha (Khun Yuam),,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-08-05 10:22:15,,,2022-08-05 10:22:15,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-08-05 10:22:15,,21,,,100,,"Blankets, Mosquito Nets, Education",,,,,,2002-09-27,30.0,,zcrm_361303000000461057,30,37,35,,Khun Yuam,35,All Seasons,,Mae Hong Son,false,37,,,Ban Pang Tong,3,,,20,28,,,,,,,,,"Stomach problem, Skin infection, ulcer",,No Schools,zcrm_361303000000461057,,,,,,,Yes,,,No,Government Water System,,,,,Ban Hua Ha (Khun Yuam),Ban Hua Ha (Khun Yuam),,,,,,,false,WASH,,,1
zcrm_361303000001881600,zcrm_361303000000269001,,Ban Hua La,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-12-15 14:39:16,,,2022-12-15 14:39:16,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-12-15 14:39:16,,95,,,449,,"Repair flood damage to fields, Blankets, Mosquito net, Repair canal in the fields, Education Scholarship and transportation to Mae La Noi",,,,18.54534,97.95983,2006-09-22,40.0,,zcrm_361303000000401954,151,26,151,,Mae La Noi,147,All Seasons,,Mae Hong Son,false,26,2,,In the village,,3,,,122,,,,,,,,,"Flu, Ulcer, Prostate, Stones (stone in bladder because of unclean water)",zcrm_361303000001881116,Prathom (Primary),,,,,,,,Yes,,,Yes,Government Water System,,,,,Ban Hua La,Ban Hua La,,,,,,,false,Further Education Scholarships;WASH,,,1
zcrm_361303000001881601,zcrm_361303000000269001,,Ban Hua Mae Surin,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-12-15 15:26:52,,,2022-12-15 15:26:52,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-12-15 15:26:52,,21,,,220,,"Blankets, Mosquito Nets, Education",,,,18.92328,98.08674,2002-10-16,20.0,,zcrm_361303000000461057,57,33,81,,Khun Yuam,82,All Seasons,,Mae Hong Son,false,33,,,Ban Pang Tong,,,,18,21,,,,,,,,,"Stomach problem, Skin infection",,Prathom (Primary),zcrm_361303000000461057,,,,,,,Yes,,,No,Government Water System,,,,,Ban Hua Mae Surin,Ban Hua Mae Surin,,,,,,,false,Further Education Scholarships;WASH,,,1
zcrm_361303000001881602,zcrm_361303000000269001,,Ban Hua Mae Tho,,,,,,Mooban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-12-29 13:49:14,,,2022-12-29 13:49:14,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,2022-07-25 11:22:51,,,2022-12-29 13:49:14,,90,,Very Good (paved roads),349,2019-11-05,"Blankets, Education Scholarship, Mosquito Nets, transport",,,Village Heaman;Village Leader;Villagers,18.64773,98.06686,2006-01-02,50.0,zcrm_361303000000401954,zcrm_361303000000401954,,70,178,Sgaw,Mae La Noi,171,All Seasons,12000,Mae Hong Son,false,70,,,Ban Mae Tho,0,,5,10,87,10.0,4,,zcrm_361303000000528036,,10,,10,Flu,zcrm_361303000000707052,Prathom (Primary),zcrm_361303000000401954,1985-01-01,,2010-01-01,,,,Yes,,1978-01-01,No,Government Water System,2005-01-01,2000-01-01,,,Ban Hua Mae Tho,Ban Hua Mae Tho,,,,,,,false,Irrigation;Further Education Scholarships;WASH,,,1
zcrm_361303000001881604,zcrm_361303000000269001,,Ban Hua Ngao,,,,,,Mooban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:19:24,2022-12-02 13:59:15,,,2022-12-02 13:59:15,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,,,,2022-12-02 13:59:15,,50,,,245,2014-07-01,,,,,,,,,,zcrm_361303000000461057,,,,,,,,,Mae Hong Son,false,,,,,,,,,,,,,,,,,,,,,,1986-01-01,,,,,,Yes,,,,,,,,,Ban Hua Ngao,Ban Hua Ngao,,,,,,,false,Irrigation;Further Education Scholarships,,,1
