Record Id,Town/District Name,Phone,Email,Website,GL Account,Category,Town/District Owner.id,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Street,City,Province,Postal Code,Country,Description,Layout.id,Tag,Town/District Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Sub-District Id,District Id,Typ,GPS Latitude,Address,GPS Longitude,Sub-District (if not one) Id,Types,Locked
zcrm_361303000000716147,Muang,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-28 06:29:51,2021-11-28 06:29:51,,,,,,,,,,,,,,,,,,,,,,,District,false
zcrm_361303000000716157,Mae Hong Son,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-28 06:30:15,2021-11-28 06:30:15,,,,,,,,,,,,,,,,,,,,,,,Town;Province,false
zcrm_361303000000716167,Ban Mae Ja,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-28 06:33:57,2021-11-28 06:33:57,,,,,,,,,,,,,,,,,,,,,,,School;Town,false
zcrm_361303000000716235,Ban Sa La Jiang Tong,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-28 06:56:59,2022-07-14 07:30:45,,,,,,,,,,,,2022-07-14 07:30:45,,,,,,,,,,,School,false
zcrm_361303000000814174,Ban Mae Poon,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-12-21 12:26:42,2021-12-21 12:26:42,,,,,,,,,,,,,,,,,,,,,,,School;Town,false
zcrm_361303000001197151,Ban Mae Suk,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-03-09 09:07:50,2022-03-09 09:07:50,,,,,,,,,,,,,,,,,,,,,,,School;Town,false
zcrm_361303000001443554,Mai La Noi,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-05-12 10:38:18,2022-05-12 10:38:18,,,,,,,,,,,,,,,,,,,,,,,District,false
zcrm_361303000001443590,Ban Huay Poo Ling School,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-05-12 11:08:05,2022-05-12 11:08:05,,,,,,,,,,,,,,,,,,,,,,,School,false
zcrm_361303000001455082,Ban Mae Tia,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-05-12 16:42:17,2022-05-12 16:42:17,,,,,,,,,,,,,,,,,,,,,,,School;Town,false
zcrm_361303000001611122,Lamphun Vocational College,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-06-01 06:53:32,2022-06-01 06:53:32,,,,,,,,,,,,,,,,,,,,,,,School,false
