ชื่อหน่วยงาน,จังหวัด,อำเภอ,ตำบล,FormattedAddress,gps_latitude,gps_longitude
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งแล้ง ตำบลแม่คง ทางหลวงชนบทมส. 4011 ตำบลแม่คง อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.16279386, 97.91746871
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสบหาร ตำบลบ้านกาศ ถนนอบจ. มส. 2003 ตำบลบ้านกาศ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.19911700, 97.92969198
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปางตอง ตำบลแม่อูคอ ทางหลวงชนบทมส. 4009 ตำบลแม่อูคอ อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.84454204, 98.06366236
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลโป่งสา ตำบลโป่งสา อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.09387765, 98.56964385
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่เตี๋ย ทางหลวงแผ่นดินหมายเลข108 ตำบลท่าผาปุ้ม อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.29594355, 97.91685509
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลป่าแป๋ ตำบลป่าแป๋ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.28472472, 98.05439595
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำดิบ ตำบลแม่ยวม ถนนชลประทาน ตำบลแม่ยวม อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.14057771, 97.92357821
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยสิงห์ ตำบลแม่ยวม ทางหลวงแผ่นดินหมายเลข1194 ตำบลแม่ยวม อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.06293433, 97.91763632
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลแม่โถ ถนนอบจ. ตำบลแม่โถ อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.62165661, 98.02520409
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลนาปู่ป้อม ทางหลวงชนบทมส. 4015 ตำบลนาปู่ป้อม อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน 58150,19.65053257, 98.09304042
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกองแปเหนือ ตำบลป่าโปง ทางหลวงชนบทมส. 3005 ตำบลป่าโปง อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,18.10334563, 98.15403369
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลถ้ำลอด ทางหลวงชนบทมส. 4014 ตำบลถ้ำลอด อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน 58150,19.57478926, 98.27787922
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลละอูบ ตำบลห้วยห้อม อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.34374445, 98.05484687
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านผาผ่า ตำบลแม่คะตวน ทางหลวงแผ่นดินหมายเลข105 ตำบลแม่คะตวน อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,18.03547003, 97.93049391
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบล ตำบลแม่ลาหลวง ทางหลวงแผ่นดินหมายเลข108 ตำบลแม่ลาหลวง อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.52841225, 97.93455164
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,สถานพยาบาลเรือนจำจังหวัดแม่ฮ่องสอน ซอยขุนลุมประพาส 1  ตำบลปางหมู อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.31224372, 97.96259394
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลปาย ถนนชัยสงคราม ตำบลเวียงใต้ อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.36191522, 98.43731199
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งโป่ง ตำบลทุ่งยาว ถนนรพช. มส. 4080 ตำบลทุ่งยาว อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.33316887, 98.44479273
