school_name,province,district,sub_district,postal_code,formatted_address,gps_latitude,gps_longitude
โรงเรียนบ้านแม่กิ๊,ทางหลวงแผ่นดินหมายเลข1337,ตำบลแม่กิ๊,อำเภอขุนยวม,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านแม่กิ๊ ทางหลวงแผ่นดินหมายเลข1337 ตำบลแม่กิ๊ อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.64820296, 97.85242728
โรงเรียนบ้านแม่โกปี่,ตำบลแม่ยวมน้อย,อำเภอขุนยวม,จังหวัดแม่ฮ่องสอน,58140,โรงเรียนบ้านแม่โกปี่ ตำบลแม่ยวมน้อย อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.70266757, 98.06670912
ศูนย์ส่งเสริมการเรียนรู้ตำบลเมืองแปง,โรงเรียนบ้านเมืองแปง,ตำบลเมืองแปง,อำเภอปาย,จังหวัดแม่ฮ่องสอน,ศูนย์ส่งเสริมการเรียนรู้ตำบลเมืองแปง โรงเรียนบ้านเมืองแปง ตำบลเมืองแปง อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.21327012, 98.36823067
โรงเรียนบ้านเมืองแพม,ตำบลถ้ำลอด,อำเภอปางมะผ้า,จังหวัดแม่ฮ่องสอน,58150,โรงเรียนบ้านเมืองแพม ตำบลถ้ำลอด อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน 58150,19.58307658, 98.30850082
โรงเรียนบ้านมะหินหลวง,ตำบลเมืองปอน,อำเภอขุนยวม,จังหวัดแม่ฮ่องสอน,58140,โรงเรียนบ้านมะหินหลวง ตำบลเมืองปอน อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.68187706, 98.04189953
โรงเรียนบ้านแม่นาเติง,ซอย2,,ตำบลแม่นาเติง,อำเภอปาย,โรงเรียนบ้านแม่นาเติง ซอย2  ตำบลแม่นาเติง อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.39374610, 98.42104061
โรงเรียนบ้านแม่โข่จู,ตำบลเมืองปอน,อำเภอขุนยวม,จังหวัดแม่ฮ่องสอน,58140,โรงเรียนบ้านแม่โข่จู ตำบลเมืองปอน อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.66763145, 98.01345252
โรงเรียนบ้านแม่ปิง,ถนนรพช.,มส.,4029,ตำบลแม่ฮี้,โรงเรียนบ้านแม่ปิง ถนนรพช. มส. 4029 ตำบลแม่ฮี้ อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.28920180, 98.47042140
โรงเรียนบ้านแม่จ๋า,ทางหลวงแผ่นดินหมายเลข108,ตำบลห้วยโป่ง,อำเภอเมืองแม่ฮ่องสอน,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านแม่จ๋า ทางหลวงแผ่นดินหมายเลข108 ตำบลห้วยโป่ง อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.00620323, 97.97848477
โรงเรียนบ้านแม่แจ๊ะ,ตำบลแม่ยวมน้อย,อำเภอขุนยวม,จังหวัดแม่ฮ่องสอน,58140,โรงเรียนบ้านแม่แจ๊ะ ตำบลแม่ยวมน้อย อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.74107816, 98.02144666
โรงเรียนบ้านแม่ละนา,ทางหลวงแผ่นดินหมายเลข1226,ตำบลปางมะผ้า,อำเภอปางมะผ้า,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านแม่ละนา ทางหลวงแผ่นดินหมายเลข1226 ตำบลปางมะผ้า อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน 58150,19.59295545, 98.21508599
โรงเรียนบ้านแม่สุริน,ทางหลวงแผ่นดินหมายเลข108,ตำบลขุนยวม,อำเภอขุนยวม,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านแม่สุริน ทางหลวงแผ่นดินหมายเลข108 ตำบลขุนยวม อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.91386428, 97.94561521
โรงเรียนบ้านแม่สะเป่ใต้,ตำบลขุนยวม,อำเภอขุนยวม,จังหวัดแม่ฮ่องสอน,58140,โรงเรียนบ้านแม่สะเป่ใต้ ตำบลขุนยวม อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.93210723, 97.86878994
โรงเรียนบ้านแม่ลาก๊ะ,โรงเรียนรักไพรวิทยา,ตำบลเมืองปอน,อำเภอขุนยวม,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านแม่ลาก๊ะ โรงเรียนรักไพรวิทยา ตำบลเมืองปอน อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.68238693, 97.99800853
โรงเรียนบ้านแม่สะงา,ทางหลวงชนบทมส.,4001,ตำบลหมอกจำแป่,อำเภอเมืองแม่ฮ่องสอน,โรงเรียนบ้านแม่สะงา ทางหลวงชนบทมส. 4001 ตำบลหมอกจำแป่ อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.41550418, 97.95694509
โรงเรียนบ้านแม่หาด,ตำบลแม่ยวมน้อย,อำเภอขุนยวม,จังหวัดแม่ฮ่องสอน,58140,โรงเรียนบ้านแม่หาด ตำบลแม่ยวมน้อย อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.79047455, 98.03849067
โรงเรียนบ้านแม่เหมืองหลวง,ตำบลโป่งสา,อำเภอปาย,จังหวัดแม่ฮ่องสอน,58130,โรงเรียนบ้านแม่เหมืองหลวง ตำบลโป่งสา อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.17117428, 98.55858470
โรงเรียนบ้านแม่อีแลบ,ตำบลทุ่งยาว,อำเภอปาย,จังหวัดแม่ฮ่องสอน,58130,โรงเรียนบ้านแม่อีแลบ ตำบลทุ่งยาว อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.33180373, 98.30635586
โรงเรียนบ้านแม่ออ,ตำบลแม่ยวมน้อย,อำเภอขุนยวม,จังหวัดแม่ฮ่องสอน,58140,โรงเรียนบ้านแม่ออ ตำบลแม่ยวมน้อย อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.77412257, 98.03718930
