school_name,province,district,sub_district,postal_code,formatted_address,gps_latitude,gps_longitude
โรงเรียนเทศบาลเมืองแม่ฮ่องสอน,ถนนนาวาคชสาร,ตำบลจองคำ,อำเภอเมืองแม่ฮ่องสอน,จังหวัดแม่ฮ่องสอน,โรงเรียนเทศบาลเมืองแม่ฮ่องสอน ถนนนาวาคชสาร ตำบลจองคำ อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.29543213, 97.96189422
โรงเรียนไท่จง,(เทศบาล,3),โรงเรียนอนุบาลเทศบาลแม่ลาน้อย,(ฝ่ายประถม),โรงเรียนไท่จง (เทศบาล 3) โรงเรียนอนุบาลเทศบาลแม่ลาน้อย (ฝ่ายประถม) ทางหลวงแผ่นดินหมายเลข108 ตำบลแม่ลาน้อย อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.37212366, 97.93720586
โรงเรียนอนุบาลแม่ลาน้อย,ถนนเทศบาลตำบลแม่ลาน้อย,ตำบลแม่ลาน้อย,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,โรงเรียนอนุบาลแม่ลาน้อย ถนนเทศบาลตำบลแม่ลาน้อย ตำบลแม่ลาน้อย อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.38235322, 97.93607752
โรงเรียนขุนยวมวิทยา,ซอยเทศบาล,30,,ตำบลขุนยวม,โรงเรียนขุนยวมวิทยา ซอยเทศบาล 30  ตำบลขุนยวม อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.83643707, 97.94114038
โรงเรียนเฉลิมรัชวิทยาคม,ตำบลกองก๋อย,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนเฉลิมรัชวิทยาคม ตำบลกองก๋อย อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,18.08215795, 98.20446515
โรงเรียนร่มฉัตรวิทยา,(เทศบาล,2),ทางหลวงแผ่นดินหมายเลข108,ตำบลแม่ลาน้อย,โรงเรียนร่มฉัตรวิทยา (เทศบาล 2) ทางหลวงแผ่นดินหมายเลข108 ตำบลแม่ลาน้อย อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.37195205, 97.93623400
โรงเรียนอนุบาลตำบลบ้านกาศ,ถนนอบจ.,มส.,2003,ตำบลบ้านกาศ,โรงเรียนอนุบาลตำบลบ้านกาศ ถนนอบจ. มส. 2003 ตำบลบ้านกาศ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.20388044, 97.92993763
โรงเรียนแม่ลาน้อยดรุณสิกข์,ทางหลวงแผ่นดินหมายเลข108,ตำบลแม่ลาน้อย,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,โรงเรียนแม่ลาน้อยดรุณสิกข์ ทางหลวงแผ่นดินหมายเลข108 ตำบลแม่ลาน้อย อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.38338848, 97.94254714
โรงเรียนสบเมยวิทยาคม,ทางหลวงแผ่นดินหมายเลข105,ตำบลแม่คะตวน,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,โรงเรียนสบเมยวิทยาคม ทางหลวงแผ่นดินหมายเลข105 ตำบลแม่คะตวน อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,18.00066470, 97.91552683
โรงเรียนปางมะผ้าพิทยาสรรพ์,ทางหลวงแผ่นดินหมายเลข1095,ตำบลสบป่อง,อำเภอปางมะผ้า,จังหวัดแม่ฮ่องสอน,โรงเรียนปางมะผ้าพิทยาสรรพ์ ทางหลวงแผ่นดินหมายเลข1095 ตำบลสบป่อง อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน 58150,19.52072539, 98.24711869
โรงเรียนปายวิทยาคาร,ถนนรพช.,มส.,4024,ตำบลเวียงใต้,โรงเรียนปายวิทยาคาร ถนนรพช. มส. 4024 ตำบลเวียงใต้ อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.35582379, 98.44241174
โรงเรียนแม่สะเรียง,(บริพัตรศึกษา),ซอยแม่สะเรียง,19,,โรงเรียนแม่สะเรียง (บริพัตรศึกษา) ซอยแม่สะเรียง 19  ตำบลบ้านกาศ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.18065191, 97.92812795
