โรงเรียนบ้านแม่แพน้อย,กองก๋อย,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่แพหลวง,แม่สวด,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ละ,ป่าแป๋,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ลาผาไหว,ขุนแม่ลาน้อย,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ลามา,สบเมย,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ลาย,ป่าโปง,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ลิด,แม่เหาะ,แม่สะเรียง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่แลบ,แม่ลาน้อย,แม่ลาน้อย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่และ,ห้วยห้อม,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่สวด,แม่สวด,สบเมย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่สวรรค์น้อย,แม่เหาะ,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่สวรรค์หลวง,แม่เหาะ,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่สะกั๊วะ,ท่าผาปุ้ม,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่สะกึ๊ด,ท่าผาปุ้ม,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่สะปึ๋ง,แม่ลาน้อย,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่สะปึ๋งใต้,แม่ลาน้อย,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่สะแมง,แม่นาจาง,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่สะเรียง,แม่สะเรียง,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่สะลาบ,แม่คง,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่สามแลบ,แม่สามแลบ,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่สุ,แม่ลาหลวง,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่หลุย,แม่สวด,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่หาด,แม่สวด,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่หาร,บ้านกาศ,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่อมลาน,ขุนแม่ลาน้อย,แม่ลาน้อย,อนุบาล–ประถมศึกษา
