"id","village_name","created_time","households","road_conditions","total_population","gps_latitude","gps_longitude","population_without_enough_rice","children_aged_0_18","distance_to_town_km","adult_males","adult_females","distance_to_hospital_km","nearest_health_centre","distance_to_pratom_km","annual_typhoid_cases","distance_to_health_centre_km","distance_to_mathayom_km","common_diseases","hosted_kht_projects","record_id","village_name_th","nearby_node","geom"
"39531372-e614-4b01-92db-f08446754972","Ban Huay Mai Sand","7/25/2022 11:19",74,"-",282,"18.62415","98.00061",50,78,40,97,107,40,"Ban Mae Tho",NULL,8,8,8,"Flu and skin infection","WASH","zcrm_361303000001881626","บ้านห้วยไม้สาน",951,"0101000020E61000003C8386FE0980584064CC5D4BC89F3240"
"5cf2347e-ed81-4e1d-ab06-7e9c3771f41b","Ban Huay Mak Nam","7/25/2022 11:19",35,"Very Poor (not paved. inaccesible in wet season)",116,"18.06412","98.03655",NULL,71,50,43,56,50,"Ban Mae Ho",4,5,30,30,NULL,"WASH","zcrm_361303000001881629","บ้านห้วยมักนำ",994,"0101000020E6100000CEAACFD556825840FF04172B6A103240"
"4424033f-726f-43fb-a1a9-4cce1322d58b","Ban Huay Mak Noon","7/25/2022 11:19",198,"Very Good (paved roads)",620,"18.33886","97.99521",NULL,212,12,202,206,12,"Ban Mae Tia",NULL,4,24,NULL,"1 Dengue Fever",NULL,"zcrm_361303000001881630","บ้านห้วยมักนุ่น",294,"0101000020E6100000BDA94885B17F58402DEC6987BF563240"
"6ee5b408-b99f-46af-a2e7-1e5eba4ebec3","Ban Huay Moo","7/25/2022 11:19",14,"Average (some paved road. some potholes)",82,"19.135383","98.127936",40,15,53,35,32,53,"Ban Huay Poo Ling",3,4,3,53,"Flu","WASH","zcrm_361303000001881631","บ้านห้วยหมู่",2620,"0101000020E6100000CAFE791A30885840336FD575A8223340"
"82452264-90d7-437e-a613-82b4d32be84a","Ban Huay Na (Mae Sariang)","7/25/2022 11:19",21,"-",109,"18.9509","97.79007",40,32,48,40,37,48,"Ban Mae Lid Pa Kae",2,6,NULL,26,"Flu. Ulcer and skin infection","WASH","zcrm_361303000001881633","บ้านห้วยนา (แม่สะเรียง)",887,"0101000020E61000003FE3C2819072584033C4B12E6EF33240"
"b8b1b65f-91fc-4d4c-89fa-8707fc56aaab","Ban Huay Phak Kood","7/25/2022 11:19",102,"-",561,"18.74639","98.2152",30,257,50,153,151,50,"Ban Pang Ung",NULL,14,20,50,"Flu and cancer","WASH","zcrm_361303000001881641","บ้านห้วยผักกูด",4030,"0101000020E6100000598638D6C58D5840BB0F406A13BF3240"
"c7464fa9-63e0-4e78-8d63-d44d85784de4","Ban Huay Phan","7/25/2022 11:19",34,"-",184,"18.99936","97.87624",30,73,35,56,55,35,"Ban Mae Surin",NULL,10,28,NULL,"Flu","WASH","zcrm_361303000001881642","-",1962,"0101000020E61000009CDCEF501478584039EE940ED6FF3240"
"57626696-66c2-4c98-ad3e-ed8a1d674b02","Ban Huay Pla Kang","7/25/2022 11:19",185,"Good (paved roads. few potholes)",607,"18.06347","98.03399",40,271,38,186,150,38,"Ban Mae Ho",NULL,2,18,38,"Ulcer","WASH","zcrm_361303000001881643","บ้านห้วยปลากั้ง",994,"0101000020E6100000079964E42C825840F146E6913F103240"
"1aa1d8be-632e-4386-928c-d0809f3ce254","Ban Huay Poo Leoy","7/25/2022 11:19",84,"Very Poor (not paved. inaccesible in wet season)",370,"19.14775","98.02886",60,90,70,132,148,20,"Ban Huay Tong",0,10,10,20,NULL,"WASH","zcrm_361303000001881650","บ้านห้วยปูเลย",3803,"0101000020E6100000670A9DD7D8815840E7FBA9F1D2253340"
"670dcc3d-9994-4978-a0f1-febf57afaee9","Ban Huay Tong Jing","7/25/2022 11:19",38,"-",182,"18.76571","98.00907",45,64,30,59,59,30,"Ban Mae Jae",2,5,7,30,"Flu","Further Education Scholarships;WASH","zcrm_361303000001881660","บ้านห้วยตงจิง",3670,"0101000020E6100000FB57569A948058405C38109205C43240"
"d9c3c51d-32c7-4ced-bfe8-b2c37ed0744f","Ban Kew Pak Ped","7/25/2022 11:19",28,"-",214,"19.2169","97.97999",60,116,74,48,50,26,"Ban Huay Tong",5,4,16,74,"Flu and Ulcer","WASH","zcrm_361303000001881671","บ้านเกี๊ยวปากเป็ด",185,"0101000020E61000000D1AFA27B87E58409D8026C286373340"
"c6f4dbc8-e9b8-4b98-ac26-4487c85db8ba","Ban Kha Noon","7/25/2022 11:19",17,"-",105,"18.20182","98.08428",50,22,43,43,40,43,"Ban Mae Lid Pa Kae",2,5,5,30,"Flu. Ulcer and skin infection","WASH","zcrm_361303000001881672","-",982,"0101000020E61000003EEDF0D764855840C1ADBB79AA333240"
"2ef65942-e2f4-4f64-a535-b9ccda092b77","Ban Khun Mae Hu","7/25/2022 11:19",55,"-",221,"18.50773","98.01113",50,66,30,81,74,30,"Ban Mae Pang Nok",20,5,20,30,"Flu and Ulcer","WASH","zcrm_361303000001881674","บ้านขุนแม่หู",1265,"0101000020E610000049809A5AB6805840B532E197FA813240"
"535956fb-4931-40c5-9454-14496fdff7d0","Ban Khun Mae La Tai","7/25/2022 11:19",30,"-",201,"18.61816","98.11526",40,NULL,72,NULL,NULL,72,"Ban PaKae",6,2,10,NULL,"Flu. Ulcer and skin infection","Irrigation;WASH","zcrm_361303000001881678","-",3698,"0101000020E61000005EA27A6B6087584003B2D7BB3F9E3240"
"54b9350f-5bd2-4a08-899e-92a5879a92cd","Ban Khun Mae Song","7/25/2022 11:19",116,"-",338,"18.535","97.76708",50,134,120,104,100,120,"Ban Po Suar",5,20,30,30,"Flu and Skin effection","WASH","zcrm_361303000001881680","บ้านขุนแม่สอง",3700,"0101000020E61000009B5AB6D617715840295C8FC2F5883240"
"eaecb835-fcbf-4630-b955-8bb74cc3b40b","Ban Khun Wong Nua","7/25/2022 11:19",74,"-",237,"18.07641","98.00478",50,106,22,64,67,22,"Ban Mae Ho",NULL,8,25,22,NULL,"WASH","zcrm_361303000001881683","บ้านขุนวงเหนือ",995,"0101000020E610000031EBC5504E8058405D16139B8F133240"
"c96cd07d-861d-4824-897a-c55708413414","Ban Khun Wong Tai","7/25/2022 11:19",70,"Poor (not paved. lots of potholes)",228,"18.06871","98.01409",NULL,70,33,83,75,33,"Ban Mae Ho",NULL,7,37,33,NULL,"WASH","zcrm_361303000001881684","-",995,"0101000020E6100000D74CBED9E68058407DE882FA96113240"
"270f9f0a-c7b7-489b-8f56-d6ff5d590e5c","Ban Kok Luang","7/25/2022 11:19",82,"-",420,"18.53201","98.13988",40,134,90,138,148,90,"In the village",NULL,4,NULL,NULL,"Flu. Ulcer. Arthritis. high blood pressure","WASH","zcrm_361303000001881688","บ้านกกลวง",3140,"0101000020E610000054573ECBF38858401C25AFCE31883240"
"ddcca679-4fd8-4926-bbe6-dfd01471f902","Ban Kor Moo Der","7/25/2022 11:19",92,"-",505,"17.92925","97.74395",90,220,90,129,156,60,"Mae Sam Laeb",NULL,13,12,NULL,"Flu","WASH","zcrm_361303000001881692","บ้านก่อหมูเดอ",4256,"0101000020E6100000FDF675E09C6F5840D9CEF753E3ED3140"
"82c8fcdc-8733-45e0-9678-d9b2dab01f7f","Ban Kra Baw Noi","7/25/2022 11:19",48,"-",229,"17.88288","97.79634",50,80,50,76,73,30,"Ban Mae Sam Laep",NULL,7,20,NULL,"Skin effection","WASH","zcrm_361303000001881693","บ้านกระบาน้อย",3899,"0101000020E6100000C91F0C3CF7725840E04A766C04E23140"
